fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
97,Lake,382638,385200,391400,391600,398900,408000,416600,426500,434000,440700,440387,449826,451470,455347,457407,465821,473870,482608,492692,516418,520187,532119,543244,554697,567357,580911,596182,609714,621618,633094,648150,658986,668022,668760,677735,684419,689891,692995,697369,701042,704141,701012,701513,704000,705186,703910,704935,703520
99,LaSalle,111409,112000,111500,110900,110200,110000,110300,110100,109800,108800,112033,110949,109687,108926,108595,107957,107473,107017,106303,106913,107126,107553,108182,109093,109459,109936,110660,110956,111422,111600,111600,112212,111904,110949,112135,112565,113139,113794,114171,113999,113866,113463,112882,112039,111241,111333,110507,110067
101,Lawrence,17522,17900,17800,18000,18100,17900,18000,18200,17900,17800,17807,18190,18232,18212,18092,17860,17301,16834,16464,15972,15928,16025,15956,15992,16080,16178,16025,15831,15683,15546,15432,15527,16045,16455,16562,16910,16730,16952,16935,16802,16916,16814,16698,16683,16519,16491,16343,16168
103,Lee,37947,37900,37000,37100,36700,36900,36900,36800,37000,36500,36328,36633,35724,34656,34476,34330,34238,34184,34249,34392,34476,34711,34929,35345,35614,36040,36029,36222,36214,36080,36092,36100,35825,35586,35704,35635,35905,36191,36272,36189,35970,35515,35141,34881,34735,34584,34399,34406
105,Livingston,40690,41900,41800,41400,41500,41700,41500,41900,42000,41500,41381,41417,41003,40481,40495,40191,39799,39441,39481,39301,39354,39086,39558,39871,40048,40330,39601,39774,39610,39786,39751,39881,39519,39095,39145,39062,38978,39069,39071,39054,38853,38844,38535,38243,37903,36671,36475,36518
107,Logan,33538,33700,32800,32800,32800,32900,33000,32400,32600,31600,31802,32103,31419,31110,30947,31354,31046,30824,30880,30798,30765,30726,30868,30869,30930,31148,31014,31043,31465,31264,31161,30934,30873,30958,30981,30795,30562,30498,30513,30342,30283,30259,30003,29943,29746,29494,29338,29245
109,McDonough,36653,37500,40300,40600,40600,39400,40000,39700,38700,37200,37467,38592,38348,37471,36601,35954,35315,34955,35038,35244,35210,35133,34832,34848,34935,33563,33508,33382,33341,33168,32841,32789,32802,32971,32798,32848,32868,32945,32615,32611,32596,32501,32545,32420,31880,31333,31387,30823
111,McHenry,111555,112100,114500,120100,122100,124900,128300,133700,138200,143600,147897,148814,149834,151784,154773,157672,161268,165577,170847,183241,185409,193390,201137,210283,219478,228762,235954,242449,248529,255448,261084,267632,274441,281743,287997,294280,300630,305117,307246,308067,309114,307899,307775,307367,307283,307343,307972,309122
113,McLean,104389,107900,113000,114200,114900,114000,115400,116800,117500,118200,119149,119963,120379,121622,122295,122918,122638,124317,126021,129180,129715,132200,134198,136831,138613,140945,142363,144342,146526,149135,150844,152713,155882,157795,159096,160299,162925,165223,166825,168727,169843,170734,172418,174893,174061,173166,172688,172290
115,Macon,125010,125300,125200,126900,127800,129200,129700,131400,132400,132400,131375,130295,128485,126932,126033,124970,122775,120527,119024,117206,117271,117984,118297,117933,117490,117289,116573,115706,115453,115142,114499,113604,112564,111572,111181,111083,110808,110751,110588,110732,110757,110582,110043,109435,108350,107303,106651,105801
